188,2,1
194,2,1
200,2,1
218,2,1
222,2,1
222,2,1
190,2,2
196,2,2
198,2,2
196,2,2
196,2,2
232,3,2
186,2,3
236,1,4
214,1,4
212,1,4
190,2,3
192,2,3
234,1,4
184,2,3
188,2,3
190,2,3
240,1,4
242,1,4
202,1,4
204,1,4
212,2,2
196,1,5
147,2,1
197,2,1
153,2,1
199,2,3
212,2,3
214,2,3
219,2,3
212,2,3
197,2,3
230,1,4
228,1,4
171,1,4
191,1,4
275,3,0
286,3,0
273,3,0
273,3,0
334,3,0
234,3,5
196,2,5
227,1,5
290,2,2
231,3,3
230,3,3
235,3,3
195,2,3
191,2,3
193,2,3
192,2,3
194,1,4
193,1,4
192,1,4
188,1,5
189,1,5
192,1,5
264,3,2
226,1,4
200,2,2
154,1,4
202,2,2
236,1,4
250,3,0
252,3,0
190,2,3
190,2,3
192,1,4
238,1,4
240,1,4
216,1,4
203,2,2
190,2,2
192,2,2
212,3,1
209,3,1
242,1,2
216,2,2
190,2,2
237,2,3
238,2,3
218,1,4
231,1,4
230,3,2
214,3,2
240,2,1
143,4,6
138,4,6
137,4,6
133,4,6
144,4,6
142,4,6
142,4,6
215,4,5
216,4,5
214,4,5
214,4,5
208,4,5
213,4,5
212,4,5
217,4,5
201,4,5
202,4,5
198,4,5
203,4,5
200,4,5
189,4,5
205,4,5
184,4,5
217,4,5
208,4,5
216,4,5
214,4,5
212,4,5
209,4,5
213,4,5
193,4,5
193,4,5
187,4,5
215,4,5
205,4,5
187,4,5
195,4,5
205,4,5
187,4,5
190,4,5
215,4,5
203,4,5
196,4,5
205,4,5
209,4,5
205,4,5
213,4,5
211,4,5
206,4,5
209,4,5
198,4,5
195,4,5
